FileName	treatment	tissue	timepoint	animal	sample_ID
US22502595_252800521502_S01_GE1_1105_Oct12_1_1.txt	Pertussis	blood	0	1	PERT_BL_0h_1
US22502595_252800521502_S01_GE1_1105_Oct12_1_2.txt	Pertussis	blood	0	2	PERT_BL_0h_2
US22502595_252800521502_S01_GE1_1105_Oct12_1_3.txt	Pertussis	blood	0	3	PERT_BL_0h_3
US22502595_252800521502_S01_GE1_1105_Oct12_1_4.txt	Pertussis	blood	0	4	PERT_BL_0h_4
US22502595_252800521502_S01_GE1_1105_Oct12_2_1.txt	Pertussis	blood	4	1	PERT_BL_4h_1
US22502595_252800521502_S01_GE1_1105_Oct12_2_2.txt	Pertussis	blood	4	2	PERT_BL_4h_2
US22502595_252800521502_S01_GE1_1105_Oct12_2_3.txt	Pertussis	blood	4	3	PERT_BL_4h_3
US22502595_252800521502_S01_GE1_1105_Oct12_2_4.txt	Pertussis	blood	4	5	PERT_BL_4h_5
US22502595_252800521503_S01_GE1_1105_Oct12_1_1.txt	Pertussis	blood	8	1	PERT_BL_8h_1
US22502595_252800521503_S01_GE1_1105_Oct12_1_2.txt	Pertussis	blood	8	2	PERT_BL_8h_2
US22502595_252800521503_S01_GE1_1105_Oct12_1_3.txt	Pertussis	blood	8	4	PERT_BL_8h_4
US22502595_252800521503_S01_GE1_1105_Oct12_1_4.txt	Pertussis	blood	8	5	PERT_BL_8h_5
US22502595_252800521503_S01_GE1_1105_Oct12_2_1.txt	Pertussis	blood	24	1	PERT_BL_24h_1
US22502595_252800521503_S01_GE1_1105_Oct12_2_2.txt	Pertussis	blood	24	3	PERT_BL_24h_3
US22502595_252800521503_S01_GE1_1105_Oct12_2_3.txt	Pertussis	blood	24	4	PERT_BL_24h_4
US22502595_252800521503_S01_GE1_1105_Oct12_2_4.txt	Pertussis	blood	24	5	PERT_BL_24h_5
US22502595_252800521504_S01_GE1_1105_Oct12_1_1.txt	Pertussis	blood	48	2	PERT_BL_48h_2
US22502595_252800521504_S01_GE1_1105_Oct12_1_2.txt	Pertussis	blood	48	3	PERT_BL_48h_3
US22502595_252800521504_S01_GE1_1105_Oct12_1_3.txt	Pertussis	blood	48	4	PERT_BL_48h_4
